Order_ID,Date,Product,Region,Quantity,Sales,Profit,Category,City,Customer_Type,Discount_Percent,Sales_Channel,Payment_Method
2904,2025-01-14,Bijili Crackers (100),Chennai,5,588,169,Sound,Chennai,Retail,2,Shop,UPI
3322,2025-01-14,Multi Shot 30 Shot,Other States,19,17100,3770,Aerial,Bengaluru,Wholesale,25,Online,Cash
3375,2025-01-14,Multi Shot 30 Shot,Other States,1,1188,359,Aerial,Kochi,Retail,1,Shop,Cash
2906,2025-01-15,Fancy Fountain,West TN,44,11704,3308,Fancy,Tiruppur,Wholesale,24,Phone/WhatsApp,Card
3208,2025-01-15,Lakshmi Vedi (10 pcs),North TN,2,171,44,Sound,Trichy,Retail,5,Shop,Cash
2409,2025-01-16,Sparklers (10 pcs),Chennai,2,118,43,Sparklers,Avadi,Retail,2,Phone/WhatsApp,UPI
3135,2025-01-16,Ground Chakkar (10 pcs),Other States,75,8505,2332,Ground,Vijayawada,Wholesale,19,Phone/WhatsApp,UPI
2630,2025-01-17,Lakshmi Vedi (10 pcs),South TN,58,3967,867,Sound,Ramanathapuram,Wholesale,24,Online,Card
2822,2025-01-17,Flower Pots (5 pcs),North TN,5,891,289,Ground,Trichy,Retail,1,Shop,UPI
2886,2025-01-17,Lakshmi Vedi (10 pcs),North TN,1,86,29,Sound,Cuddalore,Retail,4,Shop,UPI
2949,2025-01-17,Sky Shot 7 Shot,West TN,47,17554,4988,Aerial,Tiruppur,Wholesale,17,Shop,UPI
2060,2025-01-18,Family Gift Box,West TN,1,1485,399,Gift Box,Erode,Retail,1,Shop,Card
2186,2025-01-18,Sky Shot 7 Shot,South TN,5,2160,653,Aerial,Madurai,Retail,4,Shop,UPI
2433,2025-01-18,Sky Shot 7 Shot,South TN,4,1746,590,Aerial,Virudhunagar,Retail,3,Shop,Cash
2614,2025-01-18,Lakshmi Vedi (10 pcs),South TN,3,259,78,Sound,Thoothukudi,Retail,4,Online,UPI
2682,2025-01-18,Flower Pots (5 pcs),North TN,5,891,305,Ground,Vellore,Retail,1,Shop,UPI
2716,2025-01-18,Kids Special Pack,Chennai,64,25920,8447,Gift Box,Chennai,Wholesale,19,Shop,UPI
2381,2025-01-19,Atom Bomb (10 pcs),West TN,5,784,241,Sound,Coimbatore,Retail,2,Online,UPI
3401,2025-01-19,Atom Bomb (10 pcs),South TN,4,621,160,Sound,Thoothukudi,Retail,3,Shop,UPI
2041,2025-01-20,Ground Chakkar (10 pcs),West TN,11,1386,402,Ground,Erode,Gifting,10,Online,Cash
2652,2025-01-20,Lakshmi Vedi (10 pcs),Chennai,71,5112,1187,Sound,Avadi,Wholesale,20,Online,UPI
2932,2025-01-20,Bijili Crackers (100),South TN,43,4386,989,Sound,Tirunelveli,Wholesale,15,Phone/WhatsApp,Card
2558,2025-01-21,Bijili Crackers (100),West TN,2,230,58,Sound,Coimbatore,Retail,4,Online,Cash
2583,2025-01-21,Sparklers (10 pcs),South TN,6,349,128,Sparklers,Thoothukudi,Retail,3,Shop,Cash
2885,2025-01-21,Bijili Crackers (100),South TN,44,4224,1207,Sound,Ramanathapuram,Wholesale,20,Shop,Card
3388,2025-01-21,Atom Bomb (10 pcs),Chennai,180,20448,5451,Sound,Tambaram,Dealer,28,Phone/WhatsApp,Cash
3430,2025-01-21,Bijili Crackers (100),South TN,182,16817,4311,Sound,Madurai,Dealer,23,Phone/WhatsApp,UPI
2002,2025-01-22,Deluxe Gift Box,North TN,1,3395,882,Gift Box,Trichy,Retail,3,Phone/WhatsApp,UPI
2152,2025-01-22,Bijili Crackers (100),South TN,3,356,101,Sound,Thoothukudi,Retail,1,Shop,UPI
3106,2025-01-22,Sky Shot 7 Shot,Other States,40,14220,3530,Aerial,Vijayawada,Wholesale,21,Online,Cash
3112,2025-01-22,Flower Pots (5 pcs),Chennai,30,4320,1289,Ground,Tambaram,Wholesale,20,Shop,UPI
2065,2025-01-23,Bijili Crackers (100),North TN,30,3312,807,Sound,Trichy,Gifting,8,Shop,Cash
2342,2025-01-23,Lakshmi Vedi (10 pcs),South TN,38,2839,669,Sound,Thoothukudi,Wholesale,17,Phone/WhatsApp,UPI
2405,2025-01-23,Sparklers (10 pcs),South TN,3,178,69,Sparklers,Madurai,Retail,1,Shop,Cash
2031,2025-01-24,Family Gift Box,Chennai,6,8730,2470,Gift Box,Kancheepuram,Retail,3,Shop,Cash
2241,2025-01-24,Atom Bomb (10 pcs),South TN,5,792,227,Sound,Ramanathapuram,Retail,1,Phone/WhatsApp,Card
2804,2025-01-24,Bijili Crackers (100),West TN,1,115,34,Sound,Erode,Retail,4,Phone/WhatsApp,Cash
2128,2025-01-25,Lakshmi Vedi (10 pcs),South TN,2,176,45,Sound,Madurai,Retail,2,Shop,Cash
2621,2025-01-25,Bijili Crackers (100),South TN,59,5310,1374,Sound,Tirunelveli,Wholesale,25,Phone/WhatsApp,UPI
2838,2025-01-25,Kids Special Pack,Other States,2,980,405,Gift Box,Hyderabad,Retail,2,Phone/WhatsApp,UPI
3008,2025-01-25,Rockets (10 pcs),South TN,63,11365,3927,Aerial,Virudhunagar,Wholesale,18,Phone/WhatsApp,UPI
3094,2025-01-25,Lakshmi Vedi (10 pcs),Other States,82,5683,1497,Sound,Hyderabad,Dealer,23,Phone/WhatsApp,UPI
3148,2025-01-25,Ground Chakkar (10 pcs),South TN,1,140,50,Ground,Ramanathapuram,Retail,0,Shop,UPI
3161,2025-01-25,Fancy Fountain,South TN,6,2037,679,Fancy,Tirunelveli,Retail,3,Shop,UPI
2206,2025-01-26,Multi Shot 30 Shot,South TN,17,16320,4238,Aerial,Virudhunagar,Wholesale,20,Shop,Card
2329,2025-01-26,Lakshmi Vedi (10 pcs),Chennai,20,1566,505,Sound,Avadi,Gifting,13,Phone/WhatsApp,Cash
3352,2025-01-26,Bijili Crackers (100),Chennai,3,356,104,Sound,Tambaram,Retail,1,Shop,UPI
3397,2025-01-26,Bijili Crackers (100),Other States,136,12566,3235,Sound,Vijayawada,Dealer,23,Phone/WhatsApp,Card
2278,2025-01-27,Flower Pots (5 pcs),Chennai,5,864,285,Ground,Tambaram,Retail,4,Shop,UPI
2417,2025-01-27,Family Gift Box,Other States,16,21360,6528,Gift Box,Bengaluru,Gifting,11,Shop,UPI
2596,2025-01-27,Lakshmi Vedi (10 pcs),Chennai,28,2066,614,Sound,Kancheepuram,Wholesale,18,Shop,UPI
2707,2025-01-27,Rockets (10 pcs),North TN,155,24211,6976,Aerial,Thanjavur,Dealer,28,Phone/WhatsApp,UPI
2854,2025-01-27,Flower Pots (5 pcs),Chennai,1,176,60,Ground,Chennai,Retail,2,Shop,Card
3365,2025-01-27,Rockets (10 pcs),Chennai,3,647,234,Aerial,Tambaram,Retail,2,Phone/WhatsApp,UPI
2869,2025-01-28,Bijili Crackers (100),North TN,163,14083,3770,Sound,Cuddalore,Dealer,28,Shop,UPI
2163,2025-01-29,Lakshmi Vedi (10 pcs),Other States,39,3124,918,Sound,Kochi,Gifting,11,Phone/WhatsApp,UPI
3315,2025-01-29,Bijili Crackers (100),South TN,4,470,135,Sound,Ramanathapuram,Retail,2,Shop,Card
3026,2025-01-30,Ground Chakkar (10 pcs),South TN,64,6810,2105,Ground,Ramanathapuram,Dealer,24,Phone/WhatsApp,Credit
3037,2025-01-30,Flower Pots (5 pcs),South TN,34,4590,1405,Ground,Tirunelveli,Wholesale,25,Phone/WhatsApp,Cash
3096,2025-01-30,Sky Shot 7 Shot,South TN,1,432,141,Aerial,Tirunelveli,Retail,4,Shop,Cash
3152,2025-01-30,Rockets (10 pcs),Chennai,1,209,74,Aerial,Avadi,Retail,5,Phone/WhatsApp,Credit
3234,2025-01-30,Sparklers (10 pcs),Other States,4,240,79,Sparklers,Bengaluru,Retail,0,Online,UPI
3264,2025-01-30,Lakshmi Vedi (10 pcs),Chennai,5,432,147,Sound,Avadi,Retail,4,Phone/WhatsApp,UPI
3196,2025-01-31,Lakshmi Vedi (10 pcs),South TN,3,262,87,Sound,Madurai,Retail,3,Phone/WhatsApp,UPI
3402,2025-01-31,Sky Shot 7 Shot,North TN,28,10962,2809,Aerial,Thanjavur,Gifting,13,Shop,Cash
2971,2025-02-01,Ground Chakkar (10 pcs),West TN,5,700,216,Ground,Salem,Retail,0,Shop,Credit
3197,2025-02-03,Sparklers (10 pcs),Chennai,20,912,241,Sparklers,Tambaram,Wholesale,24,Shop,UPI
2724,2025-02-06,Fancy Fountain,South TN,1,332,117,Fancy,Tirunelveli,Retail,5,Shop,Cash
2513,2025-02-07,Deluxe Gift Box,Other States,1,3465,821,Gift Box,Kochi,Retail,1,Phone/WhatsApp,UPI
2739,2025-02-07,Family Gift Box,Chennai,3,4455,1114,Gift Box,Kancheepuram,Retail,1,Phone/WhatsApp,UPI
2546,2025-02-08,Kids Special Pack,Chennai,77,29260,9873,Gift Box,Kancheepuram,Wholesale,24,Shop,Credit
2118,2025-02-09,Lakshmi Vedi (10 pcs),Chennai,3,270,90,Sound,Avadi,Retail,0,Shop,UPI
3018,2025-02-10,Multi Shot 30 Shot,Other States,9,8532,2255,Aerial,Vijayawada,Wholesale,21,Shop,Cash
2839,2025-02-11,Rockets (10 pcs),West TN,3,660,244,Aerial,Tiruppur,Retail,0,Shop,Cash
3240,2025-02-13,Sparklers (10 pcs),North TN,196,8702,2187,Sparklers,Vellore,Dealer,26,Phone/WhatsApp,Credit
2536,2025-02-14,Sky Shot 7 Shot,North TN,1,441,153,Aerial,Thanjavur,Retail,2,Online,UPI
2725,2025-02-16,Sky Shot 7 Shot,South TN,48,17928,5605,Aerial,Tirunelveli,Wholesale,17,Online,Cash
3082,2025-02-16,Atom Bomb (10 pcs),Other States,50,6320,1678,Sound,Kochi,Wholesale,21,Shop,Cash
2527,2025-02-19,Bijili Crackers (100),Chennai,79,7300,1761,Sound,Avadi,Wholesale,23,Shop,Cash
3159,2025-02-19,Rockets (10 pcs),North TN,4,871,316,Aerial,Cuddalore,Retail,1,Shop,UPI
2677,2025-02-20,Flower Pots (5 pcs),Chennai,26,3838,1050,Ground,Tambaram,Wholesale,18,Phone/WhatsApp,UPI
2599,2025-02-22,Flower Pots (5 pcs),Other States,2,353,109,Ground,Hyderabad,Retail,2,Shop,UPI
2762,2025-02-22,Lakshmi Vedi (10 pcs),Chennai,88,5544,1384,Sound,Avadi,Dealer,30,Online,Cash
3249,2025-02-22,Sky Shot 7 Shot,North TN,1,432,123,Aerial,Trichy,Retail,4,Phone/WhatsApp,UPI
2143,2025-02-24,Ground Chakkar (10 pcs),Other States,32,3718,1221,Ground,Hyderabad,Wholesale,17,Shop,Cash
2522,2025-02-24,Fancy Fountain,South TN,170,44625,13103,Fancy,Tirunelveli,Dealer,25,Shop,UPI
2733,2025-02-25,Multi Shot 30 Shot,Chennai,4,4704,1157,Aerial,Kancheepuram,Retail,2,Shop,UPI
3256,2025-02-25,Sparklers (10 pcs),West TN,79,3697,1030,Sparklers,Erode,Wholesale,22,Phone/WhatsApp,UPI
2427,2025-02-26,Atom Bomb (10 pcs),West TN,26,3120,745,Sound,Tiruppur,Wholesale,25,Phone/WhatsApp,UPI
3002,2025-02-26,Flower Pots (5 pcs),North TN,1,178,52,Ground,Trichy,Retail,1,Shop,Cash
3410,2025-03-01,Family Gift Box,South TN,5,5700,1573,Gift Box,Virudhunagar,Wholesale,24,Phone/WhatsApp,UPI
3354,2025-03-04,Sparklers (10 pcs),North TN,62,2976,827,Sparklers,Cuddalore,Wholesale,20,Shop,Cash
2312,2025-03-05,Lakshmi Vedi (10 pcs),Other States,1,86,26,Sound,Hyderabad,Retail,5,Phone/WhatsApp,UPI
2364,2025-03-05,Atom Bomb (10 pcs),South TN,3,466,116,Sound,Tirunelveli,Retail,3,Shop,Cash
2452,2025-03-07,Sparklers (10 pcs),Other States,2,115,40,Sparklers,Vijayawada,Retail,4,Shop,UPI
2457,2025-03-07,Ground Chakkar (10 pcs),West TN,1,134,45,Ground,Erode,Retail,4,Phone/WhatsApp,UPI
2935,2025-03-07,Sky Shot 7 Shot,South TN,4,1728,443,Aerial,Virudhunagar,Retail,4,Phone/WhatsApp,UPI
3392,2025-03-07,Fancy Fountain,North TN,61,17720,5501,Fancy,Cuddalore,Wholesale,17,Shop,UPI
2314,2025-03-10,Atom Bomb (10 pcs),South TN,66,8342,2447,Sound,Virudhunagar,Wholesale,21,Shop,UPI
2491,2025-03-10,Lakshmi Vedi (10 pcs),West TN,2,176,55,Sound,Tiruppur,Retail,2,Shop,UPI
2669,2025-03-10,Lakshmi Vedi (10 pcs),Chennai,1,89,29,Sound,Chennai,Retail,1,Shop,Cash
2927,2025-03-10,Ground Chakkar (10 pcs),North TN,1,137,43,Ground,Trichy,Retail,2,Shop,UPI
2110,2025-03-11,Sparklers (10 pcs),North TN,26,1201,380,Sparklers,Thanjavur,Wholesale,23,Shop,UPI
2334,2025-03-11,Ground Chakkar (10 pcs),Chennai,4,560,209,Ground,Tambaram,Retail,0,Phone/WhatsApp,Cash
3321,2025-03-12,Flower Pots (5 pcs),Other States,176,22493,6466,Ground,Bengaluru,Dealer,28,Phone/WhatsApp,Cash
2166,2025-03-15,Family Gift Box,Chennai,1,1455,359,Gift Box,Tambaram,Retail,3,Shop,UPI
2239,2025-03-16,Sky Shot 7 Shot,Chennai,3,1296,370,Aerial,Kancheepuram,Retail,4,Phone/WhatsApp,UPI
2743,2025-03-17,Flower Pots (5 pcs),North TN,5,873,264,Ground,Thanjavur,Retail,3,Shop,Cash
2197,2025-03-19,Flower Pots (5 pcs),West TN,1,180,67,Ground,Tiruppur,Retail,0,Phone/WhatsApp,Cash
2851,2025-03-20,Sparklers (10 pcs),South TN,6,349,127,Sparklers,Tirunelveli,Retail,3,Phone/WhatsApp,Cash
2985,2025-03-21,Flower Pots (5 pcs),West TN,56,8467,2646,Ground,Erode,Wholesale,16,Phone/WhatsApp,UPI
3404,2025-03-22,Sparklers (10 pcs),West TN,72,3413,1048,Sparklers,Tiruppur,Wholesale,21,Phone/WhatsApp,Cash
2351,2025-03-23,Kids Special Pack,South TN,6,2940,938,Gift Box,Tirunelveli,Retail,2,Online,UPI
3168,2025-03-23,Lakshmi Vedi (10 pcs),South TN,43,3173,817,Sound,Ramanathapuram,Wholesale,18,Shop,Cash
3339,2025-03-23,Lakshmi Vedi (10 pcs),South TN,28,2142,632,Sound,Madurai,Wholesale,15,Shop,UPI
2594,2025-03-24,Sparklers (10 pcs),South TN,45,2241,635,Sparklers,Madurai,Wholesale,17,Online,Credit
2589,2025-03-25,Multi Shot 30 Shot,Chennai,5,5880,1798,Aerial,Kancheepuram,Retail,2,Shop,UPI
2758,2025-03-25,Rockets (10 pcs),Other States,5,1089,417,Aerial,Kochi,Retail,1,Shop,UPI
2684,2025-03-27,Family Gift Box,South TN,16,18960,4967,Gift Box,Thoothukudi,Wholesale,21,Phone/WhatsApp,Cash
3034,2025-03-28,Flower Pots (5 pcs),South TN,3,535,155,Ground,Madurai,Retail,1,Shop,Credit
3116,2025-03-28,Sky Shot 7 Shot,Chennai,56,21420,5767,Aerial,Kancheepuram,Wholesale,15,Phone/WhatsApp,UPI
2788,2025-03-29,Kids Special Pack,West TN,4,1940,688,Gift Box,Erode,Retail,3,Shop,UPI
3306,2025-03-29,Sparklers (10 pcs),South TN,26,1342,380,Sparklers,Tirunelveli,Gifting,14,Online,Cash
3343,2025-03-29,Rockets (10 pcs),Chennai,3,634,207,Aerial,Tambaram,Retail,4,Shop,Cash
2489,2025-03-30,Rockets (10 pcs),Chennai,131,21903,6596,Aerial,Avadi,Dealer,24,Phone/WhatsApp,Cash
2436,2025-03-31,Bijili Crackers (100),Chennai,3,356,103,Sound,Tambaram,Retail,1,Phone/WhatsApp,UPI
2806,2025-03-31,Lakshmi Vedi (10 pcs),North TN,5,446,137,Sound,Cuddalore,Retail,1,Phone/WhatsApp,Credit
2919,2025-03-31,Family Gift Box,Other States,3,4275,1252,Gift Box,Bengaluru,Retail,5,Phone/WhatsApp,Card
2033,2025-04-01,Sparklers (10 pcs),South TN,6,353,131,Sparklers,Virudhunagar,Retail,2,Shop,Credit
2943,2025-04-01,Rockets (10 pcs),Other States,25,5005,1828,Aerial,Vijayawada,Gifting,9,Phone/WhatsApp,Card
3078,2025-04-02,Sparklers (10 pcs),South TN,32,1690,486,Sparklers,Madurai,Gifting,12,Phone/WhatsApp,Cash
2318,2025-04-03,Ground Chakkar (10 pcs),Other States,2,280,103,Ground,Bengaluru,Retail,0,Shop,UPI
2592,2025-04-03,Flower Pots (5 pcs),Other States,3,524,172,Ground,Bengaluru,Retail,3,Phone/WhatsApp,Card
3042,2025-04-03,Kids Special Pack,South TN,24,10680,3433,Gift Box,Thoothukudi,Gifting,11,Online,UPI
2404,2025-04-04,Sparklers (10 pcs),Chennai,10,522,159,Sparklers,Tambaram,Gifting,13,Phone/WhatsApp,UPI
2627,2025-04-07,Rockets (10 pcs),Other States,184,30765,9147,Aerial,Kochi,Dealer,24,Phone/WhatsApp,Cash
2565,2025-04-08,Flower Pots (5 pcs),Chennai,141,18274,4153,Ground,Chennai,Dealer,28,Shop,UPI
2573,2025-04-08,Lakshmi Vedi (10 pcs),Other States,4,360,95,Sound,Kochi,Retail,0,Shop,UPI
2977,2025-04-08,Flower Pots (5 pcs),Other States,29,4124,1174,Ground,Kochi,Wholesale,21,Online,UPI
3151,2025-04-08,Lakshmi Vedi (10 pcs),South TN,47,3257,726,Sound,Thoothukudi,Wholesale,23,Shop,Cash
2750,2025-04-09,Bijili Crackers (100),South TN,2,233,78,Sound,Thoothukudi,Retail,3,Phone/WhatsApp,Credit
2448,2025-04-10,Bijili Crackers (100),South TN,51,4957,1515,Sound,Virudhunagar,Wholesale,19,Shop,Cash
2544,2025-04-10,Sparklers (10 pcs),South TN,5,285,112,Sparklers,Tirunelveli,Retail,5,Online,UPI
3215,2025-04-10,Lakshmi Vedi (10 pcs),West TN,6,524,167,Sound,Coimbatore,Retail,3,Phone/WhatsApp,UPI
2032,2025-04-11,Ground Chakkar (10 pcs),North TN,1,137,50,Ground,Trichy,Retail,2,Phone/WhatsApp,Cash
2272,2025-04-11,Lakshmi Vedi (10 pcs),West TN,26,1919,420,Sound,Coimbatore,Wholesale,18,Phone/WhatsApp,UPI
2495,2025-04-11,Fancy Fountain,Other States,1,346,122,Fancy,Kochi,Retail,1,Online,UPI
2529,2025-04-11,Ground Chakkar (10 pcs),North TN,3,416,124,Ground,Cuddalore,Retail,1,Phone/WhatsApp,UPI
2922,2025-04-11,Family Gift Box,Chennai,31,33015,6496,Gift Box,Kancheepuram,Dealer,28,Shop,Cash
2254,2025-04-12,Sparklers (10 pcs),West TN,66,3208,890,Sparklers,Salem,Wholesale,19,Phone/WhatsApp,Cash
2313,2025-04-12,Family Gift Box,Other States,13,15015,4000,Gift Box,Bengaluru,Wholesale,23,Shop,Cash
2055,2025-04-14,Ground Chakkar (10 pcs),South TN,5,693,233,Ground,Thoothukudi,Retail,1,Online,UPI
2507,2025-04-14,Family Gift Box,North TN,6,8820,2203,Gift Box,Thanjavur,Retail,2,Shop,UPI
2937,2025-04-14,Flower Pots (5 pcs),North TN,1,175,64,Ground,Trichy,Retail,3,Shop,UPI
3263,2025-04-15,Fancy Fountain,South TN,85,23205,6226,Fancy,Ramanathapuram,Dealer,22,Online,Cash
2026,2025-04-16,Ground Chakkar (10 pcs),Other States,3,416,124,Ground,Kochi,Retail,1,Shop,Cash
2320,2025-04-16,Bijili Crackers (100),West TN,2,238,60,Sound,Coimbatore,Retail,1,Shop,UPI
2921,2025-04-16,Bijili Crackers (100),West TN,3,356,111,Sound,Tiruppur,Retail,1,Phone/WhatsApp,Card
2284,2025-04-17,Flower Pots (5 pcs),North TN,1,175,64,Ground,Trichy,Retail,3,Phone/WhatsApp,UPI
2451,2025-04-17,Multi Shot 30 Shot,Other States,3,3528,840,Aerial,Hyderabad,Retail,2,Online,UPI
2779,2025-04-17,Sparklers (10 pcs),South TN,23,1076,349,Sparklers,Madurai,Wholesale,22,Online,Cash
3441,2025-04-17,Lakshmi Vedi (10 pcs),Other States,1,89,24,Sound,Hyderabad,Retail,1,Phone/WhatsApp,Cash
3259,2025-04-19,Rockets (10 pcs),West TN,5,1056,373,Aerial,Erode,Retail,4,Shop,UPI
2038,2025-04-20,Sparklers (10 pcs),Chennai,4,233,80,Sparklers,Tambaram,Retail,3,Phone/WhatsApp,UPI
2219,2025-04-20,Ground Chakkar (10 pcs),South TN,4,549,196,Ground,Ramanathapuram,Retail,2,Shop,Cash
2795,2025-04-20,Lakshmi Vedi (10 pcs),South TN,163,10562,2154,Sound,Tirunelveli,Dealer,28,Phone/WhatsApp,Cash
2461,2025-04-21,Lakshmi Vedi (10 pcs),Other States,49,3440,846,Sound,Hyderabad,Wholesale,22,Online,UPI
3311,2025-04-21,Flower Pots (5 pcs),Chennai,5,864,318,Ground,Avadi,Retail,4,Shop,Cash
2054,2025-04-22,Kids Special Pack,North TN,30,13350,4091,Gift Box,Trichy,Gifting,11,Phone/WhatsApp,UPI
3013,2025-04-22,Fancy Fountain,Chennai,1,336,124,Fancy,Kancheepuram,Retail,4,Shop,UPI
3345,2025-04-22,Lakshmi Vedi (10 pcs),Other States,99,6772,1434,Sound,Vijayawada,Dealer,24,Phone/WhatsApp,Cash
2455,2025-04-23,Ground Chakkar (10 pcs),South TN,18,2293,793,Ground,Madurai,Gifting,9,Phone/WhatsApp,Cash
2568,2025-04-24,Rockets (10 pcs),North TN,5,1078,353,Aerial,Vellore,Retail,2,Shop,Card
2761,2025-04-24,Rockets (10 pcs),South TN,4,862,299,Aerial,Madurai,Retail,2,Online,Cash
3113,2025-04-24,Atom Bomb (10 pcs),North TN,6,960,261,Sound,Vellore,Retail,0,Online,UPI
2674,2025-04-25,Ground Chakkar (10 pcs),South TN,48,5510,1843,Ground,Ramanathapuram,Wholesale,18,Online,UPI
2747,2025-04-25,Lakshmi Vedi (10 pcs),Chennai,4,353,101,Sound,Chennai,Retail,2,Online,Cash
2811,2025-04-26,Fancy Fountain,West TN,2,700,245,Fancy,Tiruppur,Retail,0,Shop,Card
3071,2025-04-26,Multi Shot 30 Shot,Other States,4,4704,1030,Aerial,Vijayawada,Retail,2,Online,UPI
2373,2025-04-28,Flower Pots (5 pcs),North TN,4,691,209,Ground,Vellore,Retail,4,Shop,UPI
2783,2025-04-28,Multi Shot 30 Shot,South TN,12,11664,2181,Aerial,Madurai,Wholesale,19,Online,UPI
2844,2025-04-29,Family Gift Box,Chennai,6,7110,1846,Gift Box,Chennai,Wholesale,21,Shop,Cash
3269,2025-04-29,Rockets (10 pcs),West TN,6,1267,419,Aerial,Coimbatore,Retail,4,Shop,Card
3045,2025-04-30,Fancy Fountain,Other States,5,1662,483,Fancy,Bengaluru,Retail,5,Shop,Card
3407,2025-04-30,Rockets (10 pcs),West TN,70,12782,4664,Aerial,Erode,Wholesale,17,Shop,UPI
2683,2025-05-01,Kids Special Pack,Chennai,54,21330,7879,Gift Box,Tambaram,Wholesale,21,Phone/WhatsApp,UPI
3191,2025-05-01,Bijili Crackers (100),Chennai,54,5184,1284,Sound,Avadi,Wholesale,20,Shop,Card
